REGIONS,-1.96SD,-1SD,Mean,1SD,1.96SD
CAISO,0.0,36.67,36.67,36.67,36.67
ERCOT,25.76,0.0,25.76,0.0,25.76
FRCC,20.27,20.27,20.27,0.0,0.0
ISONE,0.0,14.16,14.16,0.0,14.16
MISO,0.0,0.0,0.0,0.0,0.0
NYISO,0.0,0.0,21.99,21.99,0.0
NorthernGridConnected,16.1,0.0,0.0,16.1,16.1
NorthernGridUnconnected,4.59,4.59,4.59,0.0,0.0
PJM,0.0,0.0,0.0,65.74,65.74
SCRTP,2.7,0.0,0.0,0.0,0.0
SERTP,0.0,0.0,0.0,0.0,39.96
SPP,0.0,14.34,0.0,0.0,0.0
WestConnect,0.0,9.95,0.0,9.95,0.0
WestConnectNonEnrolled,6.19,0.0,0.0,6.19,0.0
