REGIONS,-1.96SD,-1SD,Mean,1SD,1.96SD
CAISO,0.0,930.26,930.26,930.26,930.26
ERCOT,571.38,0.0,571.38,0.0,571.38
FRCC,584.77,584.77,584.77,0.0,0.0
ISONE,0.0,366.37,366.37,0.0,366.37
MISO,0.0,0.0,0.0,0.0,0.0
NYISO,0.0,0.0,585.98,585.98,0.0
NorthernGridConnected,449.99,0.0,0.0,449.99,449.99
NorthernGridUnconnected,111.45,111.45,111.45,0.0,0.0
PJM,0.0,0.0,0.0,1492.92,1492.92
SCRTP,66.16,0.0,0.0,0.0,0.0
SERTP,0.0,0.0,0.0,0.0,891.56
SPP,0.0,359.64,0.0,0.0,0.0
WestConnect,0.0,239.88,0.0,239.88,0.0
WestConnectNonEnrolled,161.09,0.0,0.0,161.09,0.0
